INFO:sentence_transformers.SentenceTransformer:Load pretrained SentenceTransformer: BAAI/bge-large-zh-v1.5
INFO:sentence_transformers.SentenceTransformer:Use pytorch device: cuda
INFO:root:Training steps:20148, warmup steps:4029, steps per epoch:None
INFO:root:WARNING: ran out of memory,times: 1, batch size: 8
INFO:root:WARNING: ran out of memory,times: 2, batch size: 8
INFO:root:WARNING: ran out of memory,times: 3, batch size: 8
INFO:root:WARNING: ran out of memory,times: 4, batch size: 8
INFO:root:WARNING: ran out of memory,times: 5, batch size: 8
INFO:root:WARNING: ran out of memory,times: 6, batch size: 8
INFO:root:WARNING: ran out of memory,times: 7, batch size: 8
INFO:root:WARNING: ran out of memory,times: 8, batch size: 8
INFO:root:WARNING: ran out of memory,times: 9, batch size: 8
INFO:root:WARNING: ran out of memory,times: 10, batch size: 8
INFO:root:WARNING: ran out of memory,times: 11, batch size: 8
INFO:root:WARNING: ran out of memory,times: 12, batch size: 8
INFO:root:WARNING: ran out of memory,times: 13, batch size: 8
INFO:root:WARNING: ran out of memory,times: 14, batch size: 8
INFO:root:WARNING: ran out of memory,times: 15, batch size: 8
INFO:root:WARNING: ran out of memory,times: 16, batch size: 8
INFO:root:WARNING: ran out of memory,times: 17, batch size: 8
INFO:root:WARNING: ran out of memory,times: 18, batch size: 8
INFO:root:WARNING: ran out of memory,times: 19, batch size: 8
INFO:root:WARNING: ran out of memory,times: 20, batch size: 8
INFO:root:WARNING: ran out of memory,times: 21, batch size: 8
INFO:root:WARNING: ran out of memory,times: 22, batch size: 8
INFO:root:WARNING: ran out of memory,times: 23, batch size: 8
INFO:root:WARNING: ran out of memory,times: 24, batch size: 8
INFO:root:WARNING: ran out of memory,times: 25, batch size: 8
INFO:root:WARNING: ran out of memory,times: 26, batch size: 8
INFO:root:WARNING: ran out of memory,times: 27, batch size: 8
INFO:root:WARNING: ran out of memory,times: 28, batch size: 8
INFO:root:WARNING: ran out of memory,times: 29, batch size: 8
INFO:root:WARNING: ran out of memory,times: 30, batch size: 8
INFO:root:WARNING: ran out of memory,times: 31, batch size: 8
INFO:root:WARNING: ran out of memory,times: 32, batch size: 8
INFO:root:WARNING: ran out of memory,times: 33, batch size: 8
INFO:root:WARNING: ran out of memory,times: 34, batch size: 8
INFO:root:WARNING: ran out of memory,times: 35, batch size: 8
INFO:root:WARNING: ran out of memory,times: 36, batch size: 8
INFO:root:WARNING: ran out of memory,times: 37, batch size: 8
INFO:root:WARNING: ran out of memory,times: 38, batch size: 8
INFO:root:WARNING: ran out of memory,times: 39, batch size: 8
INFO:root:WARNING: ran out of memory,times: 40, batch size: 8
